Customer ID,Name,Surname,Gender,Age,Region,Job Classification,Date Joined,Balance
100000001,Simon,Walsh,Male,21,England,White Collar,05.Jan.15,113810.15
400000002,Jasmine,Miller,Female,34,Northern Ireland,Blue Collar,06.Jan.15,36919.73
100000003,Liam,Brown,Male,46,England,White Collar,07.Jan.15,101536.83
300000004,Trevor,Parr,Male,32,Wales,White Collar,08.Jan.15,1421.52
100000005,Deirdre,Pullman,Female,38,England,Blue Collar,09.Jan.15,35639.79
300000006,Ava,Coleman,Female,30,Wales,Blue Collar,09.Jan.15,122443.77
100000007,Dorothy,Thomson,Female,34,England,Blue Collar,11.Jan.15,42879.84
300000009,Ruth,Campbell,Female,33,Wales,White Collar,11.Jan.15,74284.35
100000010,Dominic,Parr,Male,42,England,White Collar,12.Jan.15,10912.45
100000011,Dominic,Lewis,Male,40,England,White Collar,12.Jan.15,39667.83
100000012,Benjamin,Grant,Male,39,England,White Collar,12.Jan.15,32281.62
100000013,Ryan,MacDonald,Male,24,England,White Collar,12.Jan.15,40781.63
100000016,Nicholas,Newman,Male,42,England,White Collar,14.Jan.15,2116.85
100000019,William,Ince,Male,40,England,Blue Collar,15.Jan.15,65534.69
100000020,Audrey,Jones,Female,46,England,Blue Collar,15.Jan.15,11462.64
200000022,Jason,Butler,Male,58,Scotland,Blue Collar,18.Jan.15,21252.97
300000023,Deirdre,McDonald,Female,41,Wales,White Collar,18.Jan.15,66785.78
200000024,Carl,Quinn,Male,52,Scotland,Blue Collar,19.Jan.15,6580.81
100000025,Jennifer,Hughes,Female,38,England,White Collar,20.Jan.15,20505.32
200000026,Richard,Fraser,Male,55,Scotland,Blue Collar,21.Jan.15,43249.26
400000027,Rachel,McGrath,Female,37,Northern Ireland,White Collar,23.Jan.15,3967.2
100000028,Alison,Fisher,Female,33,England,White Collar,25.Jan.15,3428.56
200000029,Lucas,Mackenzie,Male,50,Scotland,Blue Collar,25.Jan.15,20516.1
100000030,Luke,Wilkins,Male,42,England,White Collar,27.Jan.15,10813.83
100000031,Megan,Bell,Female,25,England,White Collar,28.Jan.15,38889.76
300000032,Warren,Edmunds,Male,30,Wales,White Collar,28.Jan.15,14094.01
100000035,Karen,Dyer,Female,34,England,Blue Collar,31.Jan.15,77809.59
100000036,Yvonne,Thomson,Female,36,England,White Collar,31.Jan.15,31680.67
100000037,Sophie,Gill,Female,33,England,White Collar,31.Jan.15,20504.37
200000039,Luke,Martin,Male,35,Scotland,Blue Collar,31.Jan.15,12848.59
100000041,Edward,Terry,Male,27,England,Blue Collar,01.Feb.15,51412.6
100000042,Diane,Black,Female,35,England,White Collar,01.Feb.15,9695.7
200000043,Jake,Morgan,Male,49,Scotland,Blue Collar,01.Feb.15,114021.21
100000049,Simon,Ball,Male,27,England,White Collar,12.Feb.15,23921.89
100000050,Charles,Nolan,Male,39,England,White Collar,12.Feb.15,39034.14
100000051,Sophie,Wilkins,Female,29,England,Blue Collar,12.Feb.15,1401.43
100000052,Kimberly,James,Female,31,England,Blue Collar,12.Feb.15,41626.25
100000054,Irene,MacLeod,Female,32,England,White Collar,12.Feb.15,24187.98
100000055,Cameron,Taylor,Male,24,England,White Collar,12.Feb.15,4912.21
100000056,Liam,Gibson,Male,40,England,White Collar,12.Feb.15,58391.45
100000057,Donna,Knox,Female,33,England,Blue Collar,12.Feb.15,58033.89
100000058,Piers,Morgan,Male,44,England,White Collar,12.Feb.15,35831.2
100000060,Ryan,White,Male,47,England,White Collar,12.Feb.15,23375.57
100000061,Kylie,Howard,Female,35,England,White Collar,12.Feb.15,4586.23
100000063,Kevin,Gibson,Male,47,England,White Collar,12.Feb.15,22414.93
100000064,Bernadette,Gibson,Female,39,England,White Collar,12.Feb.15,40305.24
200000066,Piers,Burgess,Male,43,Scotland,Blue Collar,12.Feb.15,20076.8
200000067,Dan,Ellison,Male,47,Scotland,Blue Collar,12.Feb.15,5300.47
200000068,Lucas,Piper,Male,61,Scotland,Blue Collar,12.Feb.15,7162.43
200000069,Jason,Sharp,Male,53,Scotland,Blue Collar,12.Feb.15,35751.37
200000071,Dan,Mills,Male,49,Scotland,Blue Collar,12.Feb.15,70041.44
300000073,Hannah,White,Female,36,Wales,White Collar,12.Feb.15,41442.1
400000075,Olivia,Dowd,Female,30,Northern Ireland,White Collar,12.Feb.15,21.03
200000076,Michael,Hemmings,Male,44,Scotland,Blue Collar,24.Feb.15,58237.65
100000077,Frank,Brown,Male,38,England,White Collar,09.Mar.15,28509.46
300000079,Ruth,Mathis,Female,23,Wales,Blue Collar,15.Mar.15,7370.52
100000080,David,Peters,Male,34,England,White Collar,16.Mar.15,245.46
100000081,Joan,Buckland,Female,36,England,White Collar,16.Mar.15,59935.75
100000082,Neil,Robertson,Male,20,England,White Collar,16.Mar.15,11624.36
100000083,Paul,Mackay,Male,31,England,Blue Collar,16.Mar.15,9346.66
100000084,Dylan,Fraser,Male,42,England,White Collar,16.Mar.15,43770.37
100000085,Pippa,Buckland,Female,38,England,White Collar,16.Mar.15,63642.19
100000086,Matt,McGrath,Male,39,England,White Collar,16.Mar.15,22831.08
100000088,Jasmine,Piper,Female,24,England,White Collar,16.Mar.15,71571.52
100000089,Michelle,Ellison,Female,24,England,White Collar,16.Mar.15,42409.89
100000090,Wanda,Henderson,Female,35,England,White Collar,16.Mar.15,4194.57
100000091,Blake,Reid,Male,35,England,White Collar,16.Mar.15,75613.68
100000092,Jane,Forsyth,Female,26,England,White Collar,16.Mar.15,28587.08
100000093,Dan,Peake,Male,23,England,White Collar,16.Mar.15,14699.05
100000095,Rebecca,Knox,Female,30,England,White Collar,16.Mar.15,55046.35
100000096,Joshua,Slater,Male,28,England,White Collar,16.Mar.15,67479.01
100000097,Heather,Wallace,Female,38,England,Blue Collar,16.Mar.15,61890.85
100000098,Maria,Johnston,Female,36,England,White Collar,16.Mar.15,1430.6
200000099,Robert,May,Male,40,Scotland,Blue Collar,16.Mar.15,5456.86
